Location,Time,Severity,Cause,Latitude,Longitude
Riverfront Drive,2024-12-21 21:45:00,High,Multi-vehicle crash,36.118791,-115.121754
Maple Avenue,2024-12-20 09:53:00,High,Road debris,35.050841,-106.631901
Broadway Boulevard,2024-12-20 04:50:00,High,Multi-vehicle crash,38.90211,-77.011659
Cedar Lane,2024-12-21 08:20:00,Low,Vehicle breakdown,42.383705,-71.028709
Oakwood Drive,2024-12-20 15:53:00,Medium,Heavy rain,33.798001,-96.795179
Oakwood Drive,2024-12-20 02:42:00,Medium,Fog,33.779078,-96.788128
Hilltop Street,2024-12-21 04:11:00,Low,Animal on road,37.774847,-122.422375
Cedar Lane,2024-12-21 04:10:00,Medium,Vehicle breakdown,42.382672,-71.045193
Elmwood Road,2024-12-20 06:54:00,Medium,Pedestrian crossing,41.883789,-87.616489
Elmwood Road,2024-12-20 19:02:00,High,Fog,41.890566,-87.624437
Cedar Lane,2024-12-21 10:37:00,High,Construction work,42.361435,-71.014613
Oakwood Drive,2024-12-20 00:15:00,Low,Construction work,33.793321,-96.786749
Broadway Boulevard,2024-12-21 17:53:00,Low,Road debris,38.906326,-77.048916
Elmwood Road,2024-12-21 16:57:00,Low,Fog,41.890691,-87.643837
Lakeview Parkway,2024-12-20 05:49:00,Medium,Construction work,39.789808,-104.902313
Downtown Avenue,2024-12-20 07:23:00,High,Animal on road,34.051324,-118.223198
Main Street,2024-12-20 15:40:00,Low,Animal on road,40.719608,-73.959602
Elmwood Road,2024-12-21 00:08:00,Medium,Heavy rain,41.859272,-87.609873
Main Street,2024-12-20 15:24:00,High,Animal on road,40.744459,-73.983345
Riverfront Drive,2024-12-20 05:04:00,Low,Animal on road,36.122086,-115.13184
Riverfront Drive,2024-12-20 01:36:00,Low,Vehicle breakdown,36.142132,-115.104022
Lakeview Parkway,2024-12-20 01:41:00,Medium,Heavy rain,39.761962,-104.907651
Hilltop Street,2024-12-20 00:47:00,High,Animal on road,37.765007,-122.439284
Maple Avenue,2024-12-21 14:21:00,High,Multi-vehicle crash,35.081634,-106.646315
Hilltop Street,2024-12-20 04:44:00,Medium,Heavy rain,37.767353,-122.444128
Hilltop Street,2024-12-21 20:14:00,High,Traffic signal fail,37.78987,-122.441884
Downtown Avenue,2024-12-20 10:48:00,High,Fog,34.078314,-118.205285
Lakeview Parkway,2024-12-20 06:32:00,High,Pedestrian crossing,39.750947,-104.903491
Downtown Avenue,2024-12-20 08:26:00,Low,Road debris,34.063545,-118.221444
Elmwood Road,2024-12-21 04:31:00,High,Traffic signal fail,41.874771,-87.644441
Broadway Boulevard,2024-12-21 14:13:00,High,Heavy rain,38.944543,-77.042139
Lakeview Parkway,2024-12-20 21:14:00,High,Animal on road,39.784743,-104.948792
Broadway Boulevard,2024-12-20 17:43:00,Medium,Fog,38.906355,-77.015249
Lakeview Parkway,2024-12-21 05:40:00,High,Heavy rain,39.774574,-104.938805
Downtown Avenue,2024-12-20 19:52:00,Low,Animal on road,34.053465,-118.20361
Main Street,2024-12-21 17:08:00,Low,Heavy rain,40.731552,-73.972729
Main Street,2024-12-20 20:52:00,High,Animal on road,40.748025,-73.986657
Broadway Boulevard,2024-12-21 05:43:00,Medium,Pedestrian crossing,38.949537,-77.001039
Maple Avenue,2024-12-20 03:05:00,Low,Pedestrian crossing,35.063464,-106.649861
Elmwood Road,2024-12-21 00:56:00,Medium,Vehicle breakdown,41.8563,-87.627046
Hilltop Street,2024-12-21 01:08:00,High,Vehicle breakdown,37.780764,-122.43969
Downtown Avenue,2024-12-20 03:55:00,Low,Multi-vehicle crash,34.068313,-118.236726
Cedar Lane,2024-12-21 05:12:00,Medium,Road debris,42.399863,-71.033298
Broadway Boulevard,2024-12-20 00:06:00,High,Multi-vehicle crash,38.924946,-77.029654
Broadway Boulevard,2024-12-20 12:01:00,High,Vehicle breakdown,38.909049,-77.011505
Broadway Boulevard,2024-12-20 16:50:00,Medium,Road debris,38.949549,-77.036925
Oakwood Drive,2024-12-21 22:38:00,Medium,Traffic signal fail,33.770951,-96.798917
Main Street,2024-12-21 14:42:00,Medium,Fog,40.719974,-73.966557
Downtown Avenue,2024-12-20 13:57:00,High,Pedestrian crossing,34.076206,-118.219811
Maple Avenue,2024-12-20 13:39:00,High,Traffic signal fail,35.058526,-106.616924
Riverfront Drive,2024-12-20 14:14:00,High,Traffic signal fail,36.144889,-115.117383
Main Street,2024-12-20 03:36:00,High,Animal on road,40.71469,-73.987308
Downtown Avenue,2024-12-20 01:43:00,Medium,Fog,34.072668,-118.247178
Downtown Avenue,2024-12-21 19:40:00,Medium,Road debris,34.067852,-118.230005
Lakeview Parkway,2024-12-20 03:18:00,Low,Construction work,39.769022,-104.910773
Hilltop Street,2024-12-20 00:14:00,High,Road debris,37.768758,-122.412
Lakeview Parkway,2024-12-21 03:18:00,Medium,Traffic signal fail,39.797762,-104.910389
Riverfront Drive,2024-12-20 04:26:00,Low,Traffic signal fail,36.146437,-115.106584
Hilltop Street,2024-12-20 03:12:00,High,Construction work,37.788658,-122.419197
Hilltop Street,2024-12-21 20:27:00,High,Road debris,37.756665,-122.418231
Maple Avenue,2024-12-21 12:07:00,Medium,Pedestrian crossing,35.083104,-106.644785
Hilltop Street,2024-12-20 09:17:00,High,Animal on road,37.797541,-122.449209
Hilltop Street,2024-12-20 15:09:00,Medium,Road debris,37.787196,-122.42251
Main Street,2024-12-21 04:13:00,Low,Road debris,40.747119,-73.979932
Oakwood Drive,2024-12-20 11:55:00,Medium,Traffic signal fail,33.782575,-96.79938
Main Street,2024-12-21 02:23:00,Medium,Multi-vehicle crash,40.704185,-73.953289
Lakeview Parkway,2024-12-20 08:03:00,Medium,Fog,39.780068,-104.945946
Riverfront Drive,2024-12-20 16:37:00,Medium,Multi-vehicle crash,36.135867,-115.108418
Riverfront Drive,2024-12-20 11:30:00,Medium,Fog,36.131643,-115.145912
Hilltop Street,2024-12-20 17:42:00,Medium,Multi-vehicle crash,37.778438,-122.427659
Lakeview Parkway,2024-12-21 06:01:00,High,Vehicle breakdown,39.790864,-104.918781
Oakwood Drive,2024-12-20 06:43:00,Medium,Vehicle breakdown,33.765604,-96.7642
Elmwood Road,2024-12-20 14:33:00,Low,Animal on road,41.852675,-87.619962
Broadway Boulevard,2024-12-20 15:09:00,Medium,Traffic signal fail,38.911462,-77.048433
Cedar Lane,2024-12-21 19:31:00,Medium,Pedestrian crossing,42.367103,-71.034491
Cedar Lane,2024-12-20 03:07:00,High,Multi-vehicle crash,42.368622,-71.022656
Lakeview Parkway,2024-12-21 15:29:00,Medium,Construction work,39.794612,-104.941144
Main Street,2024-12-20 08:44:00,High,Traffic signal fail,40.712686,-73.957551
Maple Avenue,2024-12-20 14:24:00,High,Vehicle breakdown,35.092784,-106.628579
Hilltop Street,2024-12-21 20:11:00,High,Heavy rain,37.782921,-122.428065
Maple Avenue,2024-12-20 10:38:00,Low,Pedestrian crossing,35.063897,-106.643402
Hilltop Street,2024-12-20 07:50:00,Low,Heavy rain,37.768996,-122.445227
Lakeview Parkway,2024-12-21 03:56:00,High,Construction work,39.786284,-104.910925
Riverfront Drive,2024-12-21 04:33:00,Low,Pedestrian crossing,36.134266,-115.132021
Hilltop Street,2024-12-21 13:52:00,High,Road debris,37.765628,-122.445415
Oakwood Drive,2024-12-20 07:30:00,Medium,Pedestrian crossing,33.779255,-96.766854
Downtown Avenue,2024-12-21 12:27:00,Low,Fog,34.064711,-118.224998
Main Street,2024-12-21 09:45:00,High,Animal on road,40.749228,-73.957629
Maple Avenue,2024-12-21 14:53:00,Medium,Animal on road,35.05552,-106.607387
Lakeview Parkway,2024-12-21 07:55:00,Medium,Road debris,39.786203,-104.935674
Riverfront Drive,2024-12-20 18:45:00,High,Pedestrian crossing,36.139267,-115.115411
Hilltop Street,2024-12-21 05:50:00,High,Traffic signal fail,37.752891,-122.439078
Cedar Lane,2024-12-20 16:14:00,High,Traffic signal fail,42.375552,-71.006998
Downtown Avenue,2024-12-20 19:13:00,Medium,Animal on road,34.06887,-118.22337
Main Street,2024-12-21 09:01:00,Medium,Fog,40.734656,-73.963193
Main Street,2024-12-21 19:50:00,Medium,Heavy rain,40.748761,-73.979539
Main Street,2024-12-20 16:00:00,Low,Vehicle breakdown,40.716015,-73.988266
Lakeview Parkway,2024-12-21 09:21:00,Medium,Animal on road,39.786343,-104.916809
Main Street,2024-12-20 21:42:00,High,Fog,40.723049,-73.999359
Cedar Lane,2024-12-20 14:15:00,Medium,Road debris,42.359672,-71.042338
Main Street,2024-12-20 20:29:00,Low,Vehicle breakdown,40.737679,-73.986303
Downtown Avenue,2024-12-21 18:09:00,Medium,Pedestrian crossing,34.064027,-118.213015
Hilltop Street,2024-12-20 10:18:00,High,Construction work,37.765706,-122.429797
Main Street,2024-12-20 23:15:00,Low,Multi-vehicle crash,40.718029,-73.952946
Elmwood Road,2024-12-21 14:27:00,Low,Vehicle breakdown,41.892594,-87.620836
Lakeview Parkway,2024-12-21 23:53:00,High,Animal on road,39.785718,-104.924345
Cedar Lane,2024-12-20 05:31:00,High,Vehicle breakdown,42.369314,-71.0139
Main Street,2024-12-21 07:35:00,High,Traffic signal fail,40.731839,-73.953702
Lakeview Parkway,2024-12-21 08:33:00,Medium,Road debris,39.754181,-104.927685
Maple Avenue,2024-12-21 20:25:00,Medium,Construction work,35.054759,-106.624622
Main Street,2024-12-20 03:52:00,Low,Traffic signal fail,40.731675,-73.978627
Maple Avenue,2024-12-20 14:29:00,High,Pedestrian crossing,35.055279,-106.603807
Main Street,2024-12-21 11:10:00,High,Construction work,40.737191,-73.979975
Downtown Avenue,2024-12-20 01:01:00,Medium,Road debris,34.08006,-118.240506
Maple Avenue,2024-12-20 05:28:00,Medium,Heavy rain,35.089907,-106.640515
Broadway Boulevard,2024-12-21 14:59:00,Low,Vehicle breakdown,38.916307,-77.048052
Hilltop Street,2024-12-20 05:52:00,Low,Animal on road,37.79305,-122.40962
Lakeview Parkway,2024-12-20 00:23:00,High,Fog,39.75029,-104.916194
Oakwood Drive,2024-12-20 04:55:00,Medium,Fog,33.767559,-96.760551
Riverfront Drive,2024-12-21 09:51:00,Low,Road debris,36.113933,-115.132975
Main Street,2024-12-20 03:13:00,Medium,Fog,40.714966,-73.968419
Riverfront Drive,2024-12-20 14:16:00,High,Heavy rain,36.130293,-115.127462
Oakwood Drive,2024-12-20 13:21:00,High,Multi-vehicle crash,33.774896,-96.795067
Broadway Boulevard,2024-12-21 00:13:00,Low,Traffic signal fail,38.911374,-77.029348
Elmwood Road,2024-12-20 14:21:00,High,Traffic signal fail,41.884981,-87.616472
Riverfront Drive,2024-12-20 14:51:00,Medium,Vehicle breakdown,36.108266,-115.127835
Riverfront Drive,2024-12-21 20:46:00,Low,Heavy rain,36.13659,-115.127934
Downtown Avenue,2024-12-21 12:18:00,Medium,Construction work,34.08865,-118.220965
Cedar Lane,2024-12-20 16:56:00,Low,Construction work,42.382941,-71.000477
Oakwood Drive,2024-12-20 07:40:00,High,Pedestrian crossing,33.795843,-96.762286
Cedar Lane,2024-12-20 19:28:00,Medium,Fog,42.369338,-71.003065
Broadway Boulevard,2024-12-20 05:04:00,Medium,Vehicle breakdown,38.940269,-77.013417
Riverfront Drive,2024-12-20 17:26:00,High,Animal on road,36.110401,-115.121507
Oakwood Drive,2024-12-20 06:13:00,Low,Traffic signal fail,33.757624,-96.782945
Hilltop Street,2024-12-20 05:12:00,High,Road debris,37.769167,-122.402394
Oakwood Drive,2024-12-21 01:20:00,High,Fog,33.766943,-96.754042
Oakwood Drive,2024-12-21 06:15:00,Medium,Vehicle breakdown,33.777163,-96.771091
Cedar Lane,2024-12-20 19:19:00,High,Vehicle breakdown,42.351428,-71.011442
Cedar Lane,2024-12-21 05:34:00,Low,Fog,42.390283,-71.024829
Hilltop Street,2024-12-20 03:33:00,Low,Traffic signal fail,37.792997,-122.419022
Riverfront Drive,2024-12-20 17:42:00,Medium,Multi-vehicle crash,36.137707,-115.130359
Lakeview Parkway,2024-12-20 05:46:00,Low,Pedestrian crossing,39.771128,-104.918029
Riverfront Drive,2024-12-21 17:31:00,Low,Heavy rain,36.127157,-115.133592
Main Street,2024-12-21 08:53:00,High,Animal on road,40.744669,-73.964275
Lakeview Parkway,2024-12-21 15:42:00,Medium,Vehicle breakdown,39.754297,-104.92598
Elmwood Road,2024-12-20 17:54:00,High,Heavy rain,41.874378,-87.640704
Main Street,2024-12-21 19:18:00,Low,Traffic signal fail,40.726357,-73.975268
Maple Avenue,2024-12-21 19:51:00,High,Animal on road,35.061033,-106.614094
Maple Avenue,2024-12-21 11:48:00,Low,Road debris,35.063843,-106.64057
Riverfront Drive,2024-12-20 23:36:00,Low,Animal on road,36.140431,-115.129276
Hilltop Street,2024-12-21 19:20:00,Low,Fog,37.753507,-122.406239
Cedar Lane,2024-12-21 05:20:00,Medium,Multi-vehicle crash,42.387345,-71.030326
Hilltop Street,2024-12-21 04:54:00,High,Traffic signal fail,37.760507,-122.419311
Oakwood Drive,2024-12-21 10:01:00,High,Fog,33.759152,-96.757017
Lakeview Parkway,2024-12-20 23:39:00,Medium,Pedestrian crossing,39.750996,-104.927837
Downtown Avenue,2024-12-21 22:37:00,Low,Construction work,34.088966,-118.225403
Main Street,2024-12-20 01:11:00,Medium,Heavy rain,40.741239,-73.991326
Maple Avenue,2024-12-20 04:28:00,Low,Fog,35.089909,-106.636492
Elmwood Road,2024-12-20 00:22:00,High,Multi-vehicle crash,41.858785,-87.612304
Downtown Avenue,2024-12-20 11:10:00,Low,Multi-vehicle crash,34.099079,-118.240402
Oakwood Drive,2024-12-21 13:06:00,Medium,Construction work,33.778882,-96.772982
Hilltop Street,2024-12-20 11:09:00,Medium,Road debris,37.787396,-122.418864
Oakwood Drive,2024-12-21 08:20:00,Medium,Traffic signal fail,33.77413,-96.798636
Downtown Avenue,2024-12-20 05:53:00,Medium,Animal on road,34.096943,-118.249729
Broadway Boulevard,2024-12-20 08:06:00,Low,Pedestrian crossing,38.910913,-77.033916
Maple Avenue,2024-12-20 08:54:00,High,Road debris,35.073495,-106.63194
Cedar Lane,2024-12-21 05:25:00,Medium,Fog,42.385987,-71.02203
Main Street,2024-12-21 21:18:00,High,Construction work,40.744866,-73.972009
Downtown Avenue,2024-12-21 00:29:00,High,Pedestrian crossing,34.07473,-118.208286
Main Street,2024-12-21 09:33:00,Low,Pedestrian crossing,40.720078,-73.963281
Main Street,2024-12-21 10:10:00,Medium,Traffic signal fail,40.720773,-73.99321
Cedar Lane,2024-12-21 13:37:00,High,Pedestrian crossing,42.350124,-71.03323
Elmwood Road,2024-12-20 22:50:00,High,Construction work,41.880874,-87.624473
Maple Avenue,2024-12-20 16:14:00,High,Animal on road,35.08224,-106.630479
Cedar Lane,2024-12-21 15:51:00,High,Construction work,42.36368,-71.032624
Downtown Avenue,2024-12-20 13:27:00,High,Road debris,34.083613,-118.245701
Lakeview Parkway,2024-12-21 10:10:00,High,Fog,39.750787,-104.943959
Oakwood Drive,2024-12-20 23:55:00,Medium,Vehicle breakdown,33.78594,-96.781554
Downtown Avenue,2024-12-20 14:37:00,Medium,Construction work,34.080273,-118.209061
Cedar Lane,2024-12-21 15:09:00,Low,Pedestrian crossing,42.371131,-71.007936
Broadway Boulevard,2024-12-21 16:34:00,High,Road debris,38.911361,-77.046753
Elmwood Road,2024-12-21 16:22:00,Low,Vehicle breakdown,41.870187,-87.610045
Riverfront Drive,2024-12-21 06:04:00,Medium,Heavy rain,36.134601,-115.106078
Lakeview Parkway,2024-12-21 12:53:00,Medium,Pedestrian crossing,39.778902,-104.905234
Maple Avenue,2024-12-20 13:41:00,Low,Traffic signal fail,35.065767,-106.625239
Main Street,2024-12-21 15:01:00,High,Vehicle breakdown,40.736979,-73.964783
Main Street,2024-12-21 21:41:00,High,Fog,40.714912,-73.966888
Oakwood Drive,2024-12-21 17:48:00,Low,Road debris,33.756901,-96.753143
Broadway Boulevard,2024-12-20 04:11:00,Medium,Construction work,38.938211,-77.042617
Downtown Avenue,2024-12-21 16:05:00,High,Heavy rain,34.075753,-118.245496
Downtown Avenue,2024-12-21 06:53:00,Medium,Multi-vehicle crash,34.057189,-118.241842
Oakwood Drive,2024-12-21 02:30:00,High,Road debris,33.797372,-96.799278
Hilltop Street,2024-12-20 11:24:00,High,Construction work,37.766888,-122.444104
Maple Avenue,2024-12-20 19:17:00,Low,Vehicle breakdown,35.088491,-106.635962
Main Street,2024-12-21 20:55:00,High,Animal on road,40.719086,-73.994866
Downtown Avenue,2024-12-20 06:52:00,High,Multi-vehicle crash,34.093267,-118.246161
Lakeview Parkway,2024-12-21 09:27:00,High,Road debris,39.769225,-104.901712
Downtown Avenue,2024-12-20 18:05:00,Low,Animal on road,34.076501,-118.223341
Broadway Boulevard,2024-12-21 13:07:00,Medium,Pedestrian crossing,38.918211,-77.010842
Maple Avenue,2024-12-21 10:25:00,Low,Heavy rain,35.063549,-106.645554
Maple Avenue,2024-12-21 17:08:00,Medium,Pedestrian crossing,35.062437,-106.628327
Maple Avenue,2024-12-21 14:40:00,High,Pedestrian crossing,35.096783,-106.635238
Cedar Lane,2024-12-21 12:47:00,Low,Road debris,42.362821,-71.037184
Main Street,2024-12-21 09:52:00,Low,Road debris,40.749636,-73.973164
Cedar Lane,2024-12-20 08:19:00,Low,Vehicle breakdown,42.381439,-71.00845
Cedar Lane,2024-12-21 11:33:00,Low,Vehicle breakdown,42.369703,-71.036667
Cedar Lane,2024-12-20 01:37:00,Medium,Fog,42.375025,-71.035657
Main Street,2024-12-20 19:02:00,Low,Pedestrian crossing,40.722255,-73.979698
Riverfront Drive,2024-12-20 05:50:00,High,Fog,36.110492,-115.131218
Downtown Avenue,2024-12-21 06:27:00,Medium,Vehicle breakdown,34.07101,-118.216563
Riverfront Drive,2024-12-20 08:44:00,Low,Vehicle breakdown,36.10754,-115.110459
Oakwood Drive,2024-12-20 20:20:00,Low,Multi-vehicle crash,33.782074,-96.779342
Oakwood Drive,2024-12-20 10:00:00,Low,Traffic signal fail,33.788119,-96.765636
Hilltop Street,2024-12-20 11:30:00,Medium,Pedestrian crossing,37.787366,-122.412654
Maple Avenue,2024-12-21 00:09:00,High,Multi-vehicle crash,35.099084,-106.622728
Riverfront Drive,2024-12-21 11:08:00,High,Fog,36.121428,-115.145502
Elmwood Road,2024-12-20 21:12:00,High,Traffic signal fail,41.850075,-87.633639
Broadway Boulevard,2024-12-21 02:04:00,High,Road debris,38.907749,-77.030496
Oakwood Drive,2024-12-20 10:52:00,Medium,Animal on road,33.786179,-96.791124
Hilltop Street,2024-12-20 16:05:00,Medium,Pedestrian crossing,37.75187,-122.405633
Cedar Lane,2024-12-20 01:55:00,High,Fog,42.359207,-71.014812
Lakeview Parkway,2024-12-20 20:00:00,Low,Pedestrian crossing,39.785994,-104.936953
Lakeview Parkway,2024-12-21 07:05:00,High,Construction work,39.76947,-104.937885
Oakwood Drive,2024-12-20 00:52:00,Low,Road debris,33.790408,-96.792435
Elmwood Road,2024-12-20 17:49:00,Medium,Vehicle breakdown,41.8544,-87.636053
Lakeview Parkway,2024-12-21 13:22:00,Low,Fog,39.764194,-104.915645
Hilltop Street,2024-12-20 20:46:00,Low,Heavy rain,37.782082,-122.448536
Main Street,2024-12-20 18:31:00,Medium,Construction work,40.715883,-73.958021
Elmwood Road,2024-12-20 03:21:00,Medium,Road debris,41.856644,-87.616224
Elmwood Road,2024-12-21 07:01:00,Medium,Multi-vehicle crash,41.883652,-87.614821
Elmwood Road,2024-12-20 13:10:00,Low,Pedestrian crossing,41.854401,-87.628659
Hilltop Street,2024-12-21 17:05:00,Low,Construction work,37.790313,-122.440623
Oakwood Drive,2024-12-20 06:46:00,Medium,Fog,33.78538,-96.794376
Riverfront Drive,2024-12-21 03:22:00,High,Traffic signal fail,36.146933,-115.128358
Broadway Boulevard,2024-12-21 12:43:00,Medium,Vehicle breakdown,38.907081,-77.002175
Oakwood Drive,2024-12-20 22:00:00,Medium,Road debris,33.751628,-96.75127
Hilltop Street,2024-12-20 21:58:00,Medium,Road debris,37.778628,-122.422274
Oakwood Drive,2024-12-21 12:47:00,Low,Animal on road,33.790664,-96.75183
Elmwood Road,2024-12-20 21:10:00,High,Fog,41.898953,-87.607927
Elmwood Road,2024-12-20 16:01:00,Medium,Heavy rain,41.894692,-87.649524
Riverfront Drive,2024-12-21 21:13:00,Low,Traffic signal fail,36.148756,-115.129065
Oakwood Drive,2024-12-21 09:57:00,Medium,Animal on road,33.780157,-96.795199
Maple Avenue,2024-12-20 10:21:00,High,Multi-vehicle crash,35.051,-106.600097
Lakeview Parkway,2024-12-21 21:39:00,Medium,Pedestrian crossing,39.794942,-104.908654
Hilltop Street,2024-12-21 01:48:00,Medium,Road debris,37.761291,-122.418129
Broadway Boulevard,2024-12-20 08:06:00,High,Road debris,38.94793,-77.020325
Main Street,2024-12-20 15:46:00,Medium,Animal on road,40.737453,-73.967779
Maple Avenue,2024-12-21 08:10:00,High,Road debris,35.075629,-106.618756
Hilltop Street,2024-12-21 15:03:00,High,Heavy rain,37.767185,-122.436544
Main Street,2024-12-21 06:15:00,Low,Heavy rain,40.718197,-73.997911
Hilltop Street,2024-12-20 02:57:00,Medium,Pedestrian crossing,37.769511,-122.411728
Maple Avenue,2024-12-20 15:40:00,Low,Heavy rain,35.078788,-106.611758
Downtown Avenue,2024-12-21 04:54:00,Medium,Animal on road,34.050415,-118.22535
Elmwood Road,2024-12-21 05:56:00,Low,Animal on road,41.87392,-87.623842
Riverfront Drive,2024-12-21 10:42:00,Low,Construction work,36.110101,-115.114325
Oakwood Drive,2024-12-21 13:47:00,High,Animal on road,33.776876,-96.776179
Lakeview Parkway,2024-12-20 05:17:00,Low,Heavy rain,39.763716,-104.934146
Main Street,2024-12-21 00:30:00,Low,Traffic signal fail,40.742807,-73.990043
Lakeview Parkway,2024-12-20 02:23:00,Low,Fog,39.791635,-104.937167
Elmwood Road,2024-12-21 15:48:00,Low,Traffic signal fail,41.856491,-87.630094
Lakeview Parkway,2024-12-21 20:43:00,High,Multi-vehicle crash,39.756212,-104.926556
Maple Avenue,2024-12-21 22:20:00,Low,Road debris,35.076597,-106.604505
Lakeview Parkway,2024-12-20 06:57:00,Medium,Pedestrian crossing,39.758821,-104.91591
Broadway Boulevard,2024-12-20 06:03:00,High,Heavy rain,38.908297,-77.035296
Downtown Avenue,2024-12-21 02:47:00,Low,Vehicle breakdown,34.067071,-118.202341
Maple Avenue,2024-12-21 00:11:00,Low,Pedestrian crossing,35.056317,-106.610652
Maple Avenue,2024-12-20 06:03:00,Low,Heavy rain,35.051765,-106.629484
Downtown Avenue,2024-12-21 18:00:00,Medium,Pedestrian crossing,34.062906,-118.24578
Downtown Avenue,2024-12-20 18:44:00,Medium,Pedestrian crossing,34.051136,-118.246698
Riverfront Drive,2024-12-20 19:36:00,Medium,Construction work,36.129128,-115.110579
Broadway Boulevard,2024-12-21 15:35:00,High,Animal on road,38.904271,-77.016538
Cedar Lane,2024-12-21 23:08:00,High,Road debris,42.365071,-71.020527
Riverfront Drive,2024-12-20 10:58:00,Medium,Multi-vehicle crash,36.131111,-115.138384
Oakwood Drive,2024-12-20 05:39:00,Low,Fog,33.772335,-96.751777
Elmwood Road,2024-12-20 17:47:00,High,Animal on road,41.874951,-87.642142
Maple Avenue,2024-12-21 08:27:00,Low,Road debris,35.063958,-106.643826
Cedar Lane,2024-12-21 00:29:00,High,Vehicle breakdown,42.358431,-71.001384
Oakwood Drive,2024-12-20 03:08:00,Medium,Vehicle breakdown,33.778312,-96.782128
Elmwood Road,2024-12-21 08:44:00,High,Construction work,41.896613,-87.647588
Elmwood Road,2024-12-20 04:52:00,Medium,Road debris,41.879414,-87.64413
Cedar Lane,2024-12-21 04:40:00,Medium,Pedestrian crossing,42.396077,-71.02001
Riverfront Drive,2024-12-20 20:00:00,Low,Pedestrian crossing,36.146694,-115.123748
Hilltop Street,2024-12-21 10:19:00,Low,Multi-vehicle crash,37.773572,-122.445091
Hilltop Street,2024-12-21 17:01:00,Medium,Road debris,37.755187,-122.428392
Elmwood Road,2024-12-21 00:45:00,High,Construction work,41.891288,-87.631342
Elmwood Road,2024-12-21 04:31:00,High,Traffic signal fail,41.872446,-87.621613
Maple Avenue,2024-12-21 04:22:00,Low,Heavy rain,35.08011,-106.640903
